"","Finished","consent","gender","age","residence","education","COVID_sev_general","COVID_pers_harm","COVID_pers_concern","COVID_concern4others","COVID_positive_1","COVID_positive_2","COVID_ndays_lockdown","COVID_lost_job","COVID_info_source","attention_check","app_uptake1","is_accceptable1","participant_benefit","reduce_lik_sev","return_activ_mild","return_activ_sev","reduce_spread_mild","reduce_spread_severe","ability_mild","decline_participate","proportionality","sensitivity","risk_of_harm","trust_intentions","trust_respectprivacy","data_security","ongoing_control","app_uptake2","sunset_app","data_local","is_acceptable2","sunset","opt_out","fm_unres_best","fm_limited","lim_gov","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","scenario_type"
"961",1,5,1,23,3,3,4,3,2,2,0,0,6,1,"2",1,NA,1,NA,3,NA,3,NA,3,NA,4,2,3,3,4,2,4,3,NA,NA,NA,0,1,0,3,5,6,2,3,3,4,2,NA,"severe"
"962",1,5,1,20,5,3,3,2,4,3,0,0,9,0,"3",1,0,NA,2,NA,3,NA,2,NA,3,3,3,2,4,2,5,3,5,0,1,1,NA,NA,NA,3,5,6,2,1,3,2,2,3,"mild"
"963",1,5,2,20,1,3,5,2,1,2,0,0,4,1,"2,3,4,5",1,NA,0,NA,2,NA,2,NA,2,NA,1,5,5,5,2,2,4,2,NA,NA,NA,0,0,1,5,5,3,2,4,3,4,4,3,"severe"
"964",1,5,1,21,1,1,5,5,5,4,1,0,21,1,"3",4,1,NA,6,NA,6,NA,5,NA,4,1,5,2,2,5,5,3,4,1,NA,NA,NA,NA,NA,7,7,6,1,2,3,4,1,2,"mild"
"965",1,5,2,22,6,3,3,2,2,4,0,0,23,0,"1,5",1,NA,1,NA,5,NA,5,NA,5,NA,1,4,5,2,5,5,5,4,NA,NA,NA,1,NA,NA,4,4,3,2,2,3,2,2,1,"severe"
"966",1,5,1,19,5,1,3,3,3,2,1,0,0,0,"2,3,5",2,1,NA,3,NA,3,NA,1,NA,4,2,3,5,3,2,4,4,1,1,NA,NA,NA,NA,NA,3,3,3,2,3,2,3,2,1,"mild"
"967",1,5,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"968",1,5,1,67,4,1,5,2,1,1,0,0,50,0,"3,5",1,NA,1,NA,2,NA,2,NA,2,NA,5,2,2,2,5,5,4,3,NA,NA,NA,1,NA,NA,4,4,4,1,1,1,1,3,1,"severe"
"969",1,5,1,18,4,3,1,5,5,4,0,0,15,1,"1,2,5",1,NA,0,NA,3,NA,4,NA,4,NA,1,1,6,6,1,1,1,1,NA,NA,NA,0,0,0,2,7,2,4,4,4,4,4,1,"severe"
"970",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"971",1,5,2,20,1,3,4,1,2,3,0,0,14,1,"2,3,4,5",1,NA,1,NA,3,NA,3,NA,3,NA,1,4,6,4,2,4,4,1,NA,NA,NA,1,NA,NA,4,4,5,1,2,2,3,2,1,"severe"
"972",1,5,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"973",1,5,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"974",1,5,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"975",1,5,2,21,5,1,4,2,2,3,0,0,15,0,"2,5",2,0,NA,2,NA,3,NA,2,NA,3,5,1,4,5,3,1,2,1,0,1,0,NA,NA,NA,6,5,1,3,4,4,4,2,2,"mild"
"976",1,5,1,22,1,2,4,3,3,3,0,0,0,0,"1,3,5",1,1,NA,3,NA,5,NA,3,NA,4,4,4,5,4,5,5,5,2,1,NA,NA,NA,NA,NA,4,6,3,2,2,3,1,2,2,"mild"
"977",1,5,2,18,1,2,5,1,3,5,0,0,NA,0,"1,2,3,5",1,1,NA,5,NA,5,NA,5,NA,6,4,6,3,2,6,6,5,6,1,NA,NA,NA,NA,NA,3,5,3,1,4,3,2,4,2,"mild"
"978",1,5,1,22,1,2,4,3,4,4,0,0,7,0,"2,5,6",1,NA,1,NA,4,NA,3,NA,3,NA,5,4,2,4,2,4,3,3,NA,NA,NA,1,NA,NA,5,6,5,2,3,2,2,2,2,"severe"
"979",1,5,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"980",1,5,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"981",1,5,1,18,1,2,4,3,3,4,0,0,16,1,"1,2,3,4,5",1,NA,0,NA,3,NA,3,NA,3,NA,2,3,6,3,5,5,5,2,NA,NA,NA,0,1,1,3,5,2,2,4,3,3,3,3,"severe"
"982",1,5,1,18,2,3,3,1,1,3,0,0,0,0,"1,2,3,4,5",1,NA,1,NA,5,NA,5,NA,5,NA,1,6,5,2,4,5,5,1,NA,NA,NA,1,NA,NA,4,6,5,2,1,2,2,1,1,"severe"
"983",1,5,2,22,4,3,5,4,5,4,0,0,22,1,"1,2,3,4,5",3,1,NA,6,NA,4,NA,3,NA,4,2,5,4,3,5,2,6,4,0,0,1,NA,NA,NA,4,7,7,1,4,4,4,4,4,"mild"
"984",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"985",1,5,1,21,4,3,4,2,2,4,0,0,0,0,"1,2,3,4,5",3,1,NA,5,NA,4,NA,4,NA,5,5,4,3,5,4,3,5,4,1,NA,NA,NA,NA,NA,5,3,4,2,3,3,2,3,3,"mild"
"986",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"987",1,5,1,19,6,3,4,2,2,4,0,0,16,0,"1,3,5",1,NA,0,NA,3,NA,5,NA,6,NA,3,4,4,5,5,2,3,2,NA,NA,NA,0,1,1,4,5,6,2,3,2,3,4,2,"severe"
"988",1,5,2,66,6,3,5,4,4,5,0,0,16,0,"1,2,3,4,5",1,0,NA,2,NA,3,NA,3,NA,3,6,3,6,2,5,5,5,3,0,1,1,NA,NA,NA,6,4,4,1,3,3,4,4,2,"mild"
"989",1,5,1,65,7,3,3,3,2,2,0,0,0,0,"1,3,5",1,0,NA,2,NA,2,NA,2,NA,2,5,3,4,3,2,2,2,2,0,0,0,NA,NA,NA,6,2,6,2,3,2,2,2,2,"mild"
"990",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"991",1,5,1,18,5,2,4,2,1,5,0,0,0,0,"5",1,NA,0,NA,2,NA,2,NA,4,NA,1,2,5,3,3,2,4,1,NA,NA,NA,0,0,1,4,4,7,2,4,2,4,4,4,"severe"
