"","Finished","consent","gender","age","residence","education","smartphoneuse","COVID_pos","COVID_pos_others","COVID_probability_1","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_lost_job","COVID_info_source_1","COVID_info_source_2","COVID_info_source_3","COVID_info_source_4","COVID_info_source_5","COVID_info_source_6","COVID_info_source_7","COVID_info_trust_1","COVID_info_trust_2","COVID_info_trust_3","COVID_info_trust_4","COVID_info_trust_5","COVID_info_trust_6","Gov_understand","Gov_helpful","COVID_fatalaties_1","COVID_fatalaties_2","COVID_fatalaties_3","COVID_fatalaties_4","COVID_fatalaties_5","COVID_fatalaties_7","COVID_fatalaties_8","COVID_fatalaties_9","COVID_fatalaties_10","COVID_govresponse_1","COVID_govresponse_2","COVID_govresponse_3","COVID_govresponse_4","COVID_govresponse_5","COVID_govresponse_6","COVID_govresponse_7","COVID_govresponse_8","COVID_govresponse_9","COVID_comply_percent","COVID_comply_pers","RKI_technology","RKI_data_access","attention_check","RKI_download","RKI_download_time","RKI_left_installed","RKI_deinstalled","RKI_blutooth","RKI_upload","RKI_reasons","RKI_friends_family","RKI_future_download","RKI_reasons_not_down","RKI_prevalence_app_1","RKI_mandatory","reduce_lik_bt","return_activ_past","return_activ_fut","reduce_spread_past","reduce_spread_fut","ability_bt","decline_part_bt","proportionality_bt","sensitivity_bt","risk_of_harm_bt","trust_intentions_bt","trust_respectpriv_bt","data_security_bt","ongoing_control","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","sci_betterlives","sci_nextgenopp","Conspir_1","Conspir_2","Conspir_3","Conspir_4_REV","Conspir_5","Conspir_covid"
"11",1,5,2,25,6,5,1,0,0,0,3,4,4,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2000,200000,91091,157818,69818,101455,71182,200000,118357,3,3,3,3,3,3,3,3,3,20,5,1,"1,5",3,1,3,1,"",1,1,"2,3",1,NA,"",28,1,3,4,3,3,4,4,3,3,5,2,4,3,4,4,3,3,3,3,3,3,4,4,3,5,3,4,1,3,3,2,4
"12",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,5,2,29,2,5,1,1,1,NA,NA,1,NA,1,1,5,5,5,4,4,2,4,4,5,5,5,5,5,5,5,50892,200000,151061,200000,92914,51757,200000,126104,114632,5,1,1,1,1,1,1,1,1,20,1,1,"1",1,1,1,1,"",1,1,"1",1,NA,"",70,1,6,6,6,6,6,6,1,6,6,6,6,5,6,6,1,1,1,1,1,1,6,7,7,7,7,7,7,7,7,7,7
"14",1,5,2,25,4,3,1,1,0,NA,NA,4,NA,4,0,2,5,4,1,4,3,2,3,4,3,1,3,3,3,2,69335,134596,55861,147066,54662,93300,75833,43035,57554,3,4,3,5,3,4,2,2,3,40,2,2,"3",2,2,NA,NA,"",NA,NA,"",NA,0,"1,4",40,0,3,5,2,4,4,2,2,3,4,5,1,5,3,3,3,2,3,2,3,3,3,4,2,4,4,6,4,1,6,2,4
"15",1,5,1,24,2,5,1,0,0,43,3,3,3,2,1,2,4,3,3,3,4,4,1,4,4,4,5,3,2,3,21423,24265,24429,31495,200000,35895,16322,10217,NA,2,3,4,2,4,3,2,2,2,50,3,2,"4",1,2,NA,NA,"",NA,NA,"",NA,0,"3",57,1,3,3,2,3,3,3,3,3,4,4,3,5,5,2,4,3,2,3,3,2,5,3,5,4,5,6,2,7,5,2,4
"16",1,5,2,25,6,2,1,1,1,NA,NA,4,NA,3,1,1,4,2,5,4,2,5,3,3,2,3,4,5,3,4,77966,200000,153898,58305,147119,48814,200000,68475,174237,3,5,1,2,4,3,4,5,1,1.05,2,3,"6",3,2,NA,NA,"",NA,NA,"",NA,1,"",68,1,2,2,1,1,6,6,2,5,6,3,1,4,6,4,2,3,4,1,3,4,3,5,7,2,1,7,6,4,2,3,4
"17",1,5,1,31,5,1,1,1,1,NA,NA,5,NA,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,199718,200000,47887,200000,200000,200000,200000,200000,200000,3,5,1,3,5,5,5,5,4,90,6,1,"2",1,1,1,1,"",1,1,"2",1,NA,"",90,1,6,6,6,6,6,6,5,6,6,6,6,6,6,6,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7
"18",1,5,1,28,1,1,1,1,1,NA,NA,1,NA,2,1,1,2,3,2,4,4,5,1,2,1,4,2,5,2,4,91753,91644,100865,102817,90343,108934,55825,121614,134783,2,4,4,1,1,5,3,2,2,50,6,1,"3",3,1,2,1,"",1,1,"1",0,NA,"",35,1,2,6,5,3,6,2,5,4,1,6,5,4,3,2,1,1,3,2,3,4,6,3,6,4,2,1,7,3,6,1,4
"19",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,5,1,31,6,5,1,0,0,51,3,3,3,2,1,1,1,1,4,1,1,1,1,1,1,3,1,1,3,2,15593,32768,19661,30056,14915,30508,25311,31186,32316,1,1,1,1,1,2,2,1,1,1,6,2,"5",4,1,3,0,"6",NA,NA,"5",1,NA,"",8,0,3,3,3,3,3,3,4,3,3,4,3,4,3,4,2,2,2,2,3,1,4,4,4,4,4,4,4,4,3,4,4
